Isla,Gasto_persona,Gasto_persona_día,year,month
Menorca,1005.83,123.03,2017,8
Ibiza_Formentera,1034.01,164.9,2017,8
Mallorca,1105.32,142.85,2017,7
Menorca,990.1,127.04,2017,7
Ibiza_Formentera,1141.94,192.6,2017,7
Mallorca,974.49,137.42,2017,6
Menorca,920.96,129.72,2017,6
Ibiza_Formentera,920.89,166.78,2017,6
Mallorca,919.27,144.93,2017,5
Menorca,842.26,129.79,2017,5
Ibiza_Formentera,822.25,144.23,2017,5
Mallorca,843.92,128.89,2017,4
Menorca,637.63,101.02,2017,4
Ibiza_Formentera,767.15,138.07,2017,4
Mallorca,803.04,129.55,2017,3
Menorca,444.85,69.08,2017,3
Ibiza_Formentera,578.39,84.25,2017,3
Mallorca,749.57,122.86,2017,2
Menorca,427.47,73.3,2017,2
Ibiza_Formentera,686.81,90.74,2017,2
Mallorca,717.6,100.93,2017,1
Menorca,434.59,63.81,2017,1
Ibiza_Formentera,556.54,79.36,2017,1
Mallorca,866.89,98.16,2016,12
Menorca,440.9,65.1,2016,12
Ibiza_Formentera,657.11,84.81,2016,12
Mallorca,753.41,123.19,2016,11
Menorca,466.51,74.33,2016,11
Ibiza_Formentera,886.23,103.37,2016,11
Mallorca,970.08,118.66,2016,10
Menorca,817.26,106.91,2016,10
Ibiza_Formentera,806.14,118.82,2016,10
Mallorca,954.36,125.88,2016,9
Menorca,902.49,111.8,2016,9
Ibiza_Formentera,885.46,149.64,2016,9
Mallorca,1070.07,129.69,2016,8
Menorca,902.35,101.42,2016,8
Ibiza_Formentera,988.11,148.95,2016,8
Mallorca,1055.94,138.48,2016,7
Menorca,889.02,120.6,2016,7
Ibiza_Formentera,1016.31,172.45,2016,7
Mallorca,944.51,132.19,2016,6
Menorca,798.7,112.74,2016,6
Ibiza_Formentera,866.95,152.16,2016,6
Mallorca,905.84,137.25,2016,5
Menorca,769.67,119.07,2016,5
Ibiza_Formentera,761.93,142.4,2016,5
Mallorca,823.74,125.38,2016,4
Menorca,600.43,79.59,2016,4
Ibiza_Formentera,610.21,102.62,2016,4
Mallorca,811.97,123.19,2016,3
Menorca,508.2,86.39,2016,3
Ibiza_Formentera,502.18,78.0,2016,3
Mallorca,845.15,124.81,2016,2
Menorca,527.84,87.79,2016,2
Ibiza_Formentera,533.54,74.21,2016,2
Mallorca,742.89,90.28,2016,1
Menorca,360.08,52.41,2016,1
Ibiza_Formentera,553.03,64.27,2016,1
Mallorca,831.77,95.99,2015,12
Menorca,546.2,81.56,2015,12
Ibiza_Formentera,597.54,77.81,2015,12
Mallorca,852.04,97.08,2015,11
Menorca,450.9,72.55,2015,11
Ibiza_Formentera,596.44,87.05,2015,11
Mallorca,915.06,114.4,2015,10
Menorca,806.03,95.52,2015,10
Ibiza_Formentera,838.52,109.8,2015,10
Mallorca,919.91,112.89,2015,9
Menorca,844.17,96.06,2015,9
Ibiza_Formentera,977.88,121.81,2015,9
Mallorca,1045.96,118.14,2015,8
Menorca,966.75,105.49,2015,8
Ibiza_Formentera,995.54,125.82,2015,8
Mallorca,1005.22,117.96,2015,7
Menorca,847.68,99.98,2015,7
Ibiza_Formentera,975.46,125.81,2015,7
Mallorca,900.9,113.93,2015,6
Menorca,762.79,96.32,2015,6
Ibiza_Formentera,832.45,118.05,2015,6
Mallorca,797.57,114.68,2015,5
Menorca,710.28,88.33,2015,5
Ibiza_Formentera,716.76,103.84,2015,5
Mallorca,773.81,104.43,2015,4
Menorca,737.76,80.15,2015,4
Ibiza_Formentera,634.38,87.05,2015,4
Mallorca,846.83,110.84,2015,3
Menorca,845.83,113.1,2015,3
Ibiza_Formentera,724.53,81.16,2015,3
Mallorca,825.1,97.8,2015,2
Menorca,621.58,77.5,2015,2
Ibiza_Formentera,808.51,92.16,2015,2
Mallorca,805.86,82.66,2015,1
Menorca,608.31,55.03,2015,1
Ibiza_Formentera,806.68,79.63,2015,1
Mallorca,953.36,104.58,2014,12
Menorca,801.18,86.16,2014,12
Ibiza_Formentera,685.47,84.1,2014,12
Mallorca,848.59,101.89,2014,11
Menorca,695.61,76.8,2014,11
Ibiza_Formentera,667.28,78.54,2014,11
Mallorca,887.42,108.81,2014,10
Menorca,712.83,68.34,2014,10
Ibiza_Formentera,836.93,88.5,2014,10
Mallorca,904.79,108.91,2014,9
Menorca,842.36,84.36,2014,9
Ibiza_Formentera,962.56,118.35,2014,9
Mallorca,1037.53,112.44,2014,8
Menorca,912.99,99.59,2014,8
Ibiza_Formentera,1049.05,131.05,2014,8
Mallorca,931.72,110.87,2014,7
Menorca,848.33,105.62,2014,7
