procedencia,Isla,gasto_persona,gasto_persona_dia,year,month
Sin paquete turístico,Eivissa-Formentera,776.78,122.41,2020,9
Con paquete turístico,Mallorca,1175.42,173.14,2020,8
Sin paquete turístico,Mallorca,960.41,106.73,2020,8
Con paquete turístico,Menorca,1084.63,161.19,2020,8
Sin paquete turístico,Menorca,881.74,84.48,2020,8
Con paquete turístico,Eivissa-Formentera,1015.12,170.46,2020,8
Sin paquete turístico,Eivissa-Formentera,825.48,145.0,2020,8
Con paquete turístico,Mallorca,1090.12,174.87,2020,7
Sin paquete turístico,Mallorca,937.74,112.91,2020,7
Con paquete turístico,Menorca,1094.61,167.43,2020,7
Sin paquete turístico,Menorca,787.5,105.1,2020,7
Con paquete turístico,Eivissa-Formentera,1082.9,179.89,2020,7
Sin paquete turístico,Eivissa-Formentera,889.17,135.22,2020,7
Con paquete turístico,Mallorca,923.9,202.82,2020,6
Sin paquete turístico,Mallorca,703.63,82.46,2020,6
Con paquete turístico,Menorca,,,2020,6
Sin paquete turístico,Menorca,,,2020,6
Con paquete turístico,Eivissa-Formentera,,,2020,6
Sin paquete turístico,Eivissa-Formentera,,,2020,6
Con paquete turístico,Mallorca,,,2020,5
Sin paquete turístico,Mallorca,,,2020,5
Con paquete turístico,Menorca,,,2020,5
Sin paquete turístico,Menorca,,,2020,5
Con paquete turístico,Eivissa-Formentera,,,2020,5
Sin paquete turístico,Eivissa-Formentera,,,2020,5
Con paquete turístico,Mallorca,,,2020,4
Sin paquete turístico,Mallorca,,,2020,4
Con paquete turístico,Menorca,,,2020,4
Sin paquete turístico,Menorca,,,2020,4
Con paquete turístico,Eivissa-Formentera,,,2020,4
Sin paquete turístico,Eivissa-Formentera,,,2020,4
Con paquete turístico,Mallorca,899.93,167.26,2020,3
Sin paquete turístico,Mallorca,726.1,144.03,2020,3
Con paquete turístico,Menorca,,,2020,3
Sin paquete turístico,Menorca,457.92,67.64,2020,3
Con paquete turístico,Eivissa-Formentera,,,2020,3
Sin paquete turístico,Eivissa-Formentera,525.61,98.42,2020,3
Con paquete turístico,Mallorca,929.49,159.33,2020,2
Sin paquete turístico,Mallorca,779.42,123.12,2020,2
Con paquete turístico,Menorca,,,2020,2
Sin paquete turístico,Menorca,461.05,77.0,2020,2
Con paquete turístico,Eivissa-Formentera,,,2020,2
Sin paquete turístico,Eivissa-Formentera,448.33,110.11,2020,2
Con paquete turístico,Mallorca,999.8,168.39,2020,1
Sin paquete turístico,Mallorca,705.05,89.75,2020,1
Con paquete turístico,Menorca,,,2020,1
Sin paquete turístico,Menorca,460.8,64.02,2020,1
Con paquete turístico,Eivissa-Formentera,,,2020,1
Sin paquete turístico,Eivissa-Formentera,507.29,78.38,2020,1
Con paquete turístico,Mallorca,926.35,182.66,2019,12
Sin paquete turístico,Mallorca,821.36,116.1,2019,12
Con paquete turístico,Menorca,,,2019,12
Sin paquete turístico,Menorca,513.42,75.71,2019,12
Con paquete turístico,Eivissa-Formentera,947.66,161.89,2019,12
Sin paquete turístico,Eivissa-Formentera,677.33,82.51,2019,12
Con paquete turístico,Mallorca,908.99,170.32,2019,11
Sin paquete turístico,Mallorca,819.4,114.48,2019,11
Con paquete turístico,Menorca,923.54,152.09,2019,11
Sin paquete turístico,Menorca,485.69,85.8,2019,11
Con paquete turístico,Eivissa-Formentera,739.15,163.7,2019,11
Sin paquete turístico,Eivissa-Formentera,530.82,88.92,2019,11
Con paquete turístico,Mallorca,1070.94,154.31,2019,10
Sin paquete turístico,Mallorca,956.98,139.87,2019,10
Con paquete turístico,Menorca,1096.01,146.94,2019,10
Sin paquete turístico,Menorca,855.69,109.78,2019,10
Con paquete turístico,Eivissa-Formentera,986.32,143.33,2019,10
Sin paquete turístico,Eivissa-Formentera,950.24,145.15,2019,10
Con paquete turístico,Mallorca,1070.61,158.64,2019,9
Sin paquete turístico,Mallorca,969.72,148.69,2019,9
Con paquete turístico,Menorca,1174.97,148.05,2019,9
Sin paquete turístico,Menorca,964.23,117.6,2019,9
Con paquete turístico,Eivissa-Formentera,1032.3,146.73,2019,9
Sin paquete turístico,Eivissa-Formentera,991.92,171.58,2019,9
Con paquete turístico,Mallorca,1168.67,168.25,2019,8
Sin paquete turístico,Mallorca,1161.86,140.09,2019,8
Con paquete turístico,Menorca,1141.88,163.32,2019,8
Sin paquete turístico,Menorca,1030.07,117.82,2019,8
Con paquete turístico,Eivissa-Formentera,1184.05,173.48,2019,8
Sin paquete turístico,Eivissa-Formentera,1225.47,174.85,2019,8
Con paquete turístico,Mallorca,1153.97,170.94,2019,7
Sin paquete turístico,Mallorca,1103.03,151.21,2019,7
Con paquete turístico,Menorca,1227.23,160.6,2019,7
Sin paquete turístico,Menorca,981.81,124.77,2019,7
Con paquete turístico,Eivissa-Formentera,1180.37,169.05,2019,7
Sin paquete turístico,Eivissa-Formentera,1228.89,184.19,2019,7
Con paquete turístico,Mallorca,1004.89,158.91,2019,6
Sin paquete turístico,Mallorca,965.12,147.35,2019,6
Con paquete turístico,Menorca,1089.56,151.56,2019,6
Sin paquete turístico,Menorca,838.64,119.62,2019,6
Con paquete turístico,Eivissa-Formentera,1020.91,144.12,2019,6
Sin paquete turístico,Eivissa-Formentera,940.73,172.09,2019,6
Con paquete turístico,Mallorca,1008.69,160.66,2019,5
Sin paquete turístico,Mallorca,813.0,167.75,2019,5
Con paquete turístico,Menorca,949.71,146.87,2019,5
Sin paquete turístico,Menorca,760.93,135.73,2019,5
Con paquete turístico,Eivissa-Formentera,981.91,142.95,2019,5
