origen_turistas,Isla,year,month,Num_turistas
Reino Unido,Mallorca,2020,8,28928.0
Alemania,Mallorca,2020,8,123080.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,8,24901.0
Países nórdicos,Mallorca,2020,8,12253.0
ESPAÑA,Mallorca,2020,7,112148.0
Francia,Mallorca,2020,7,27224.0
Italia,Mallorca,2020,7,6622.0
Reino Unido,Mallorca,2020,7,59920.0
Alemania,Mallorca,2020,7,222690.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,7,30449.0
Países nórdicos,Mallorca,2020,7,18833.0
ESPAÑA,Mallorca,2020,6,23452.0
Francia,Mallorca,2020,6,626.0
Italia,Mallorca,2020,6,604.0
Reino Unido,Mallorca,2020,6,
Alemania,Mallorca,2020,6,18807.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,6,811.0
Países nórdicos,Mallorca,2020,6,506.0
ESPAÑA,Mallorca,2020,5,0.0
Francia,Mallorca,2020,5,0.0
Italia,Mallorca,2020,5,0.0
Reino Unido,Mallorca,2020,5,0.0
Alemania,Mallorca,2020,5,0.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,5,0.0
Países nórdicos,Mallorca,2020,5,0.0
ESPAÑA,Mallorca,2020,4,0.0
Francia,Mallorca,2020,4,0.0
Italia,Mallorca,2020,4,0.0
Reino Unido,Mallorca,2020,4,0.0
Alemania,Mallorca,2020,4,0.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,4,0.0
Países nórdicos,Mallorca,2020,4,0.0
ESPAÑA,Mallorca,2020,3,42675.0
Francia,Mallorca,2020,3,4110.0
Italia,Mallorca,2020,3,849.0
Reino Unido,Mallorca,2020,3,13156.0
Alemania,Mallorca,2020,3,65949.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,3,4661.0
Países nórdicos,Mallorca,2020,3,5622.0
ESPAÑA,Mallorca,2020,2,78632.0
Francia,Mallorca,2020,2,4570.0
Italia,Mallorca,2020,2,3639.0
Reino Unido,Mallorca,2020,2,17431.0
Alemania,Mallorca,2020,2,108811.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,2,6982.0
Países nórdicos,Mallorca,2020,2,7961.0
ESPAÑA,Mallorca,2020,1,109681.0
Francia,Mallorca,2020,1,2531.0
Italia,Mallorca,2020,1,2001.0
Reino Unido,Mallorca,2020,1,6720.0
Alemania,Mallorca,2020,1,53970.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,1,4886.0
Países nórdicos,Mallorca,2020,1,4479.0
ESPAÑA,Mallorca,2019,12,83134.0
Francia,Mallorca,2019,12,7669.0
Italia,Mallorca,2019,12,1934.0
Reino Unido,Mallorca,2019,12,12318.0
Alemania,Mallorca,2019,12,67770.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,12,3355.0
Países nórdicos,Mallorca,2019,12,4268.0
ESPAÑA,Mallorca,2019,11,84148.0
Francia,Mallorca,2019,11,6038.0
Italia,Mallorca,2019,11,3905.0
Reino Unido,Mallorca,2019,11,13859.0
Alemania,Mallorca,2019,11,106106.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,11,4108.0
Países nórdicos,Mallorca,2019,11,6983.0
ESPAÑA,Mallorca,2019,10,110459.0
Francia,Mallorca,2019,10,43082.0
Italia,Mallorca,2019,10,8158.0
Reino Unido,Mallorca,2019,10,228498.0
Alemania,Mallorca,2019,10,424792.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,10,38934.0
Países nórdicos,Mallorca,2019,10,64934.0
ESPAÑA,Mallorca,2019,9,159287.0
Francia,Mallorca,2019,9,60585.0
Italia,Mallorca,2019,9,27057.0
Reino Unido,Mallorca,2019,9,383262.0
Alemania,Mallorca,2019,9,593407.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,9,70221.0
Países nórdicos,Mallorca,2019,9,99581.0
ESPAÑA,Mallorca,2019,8,229594.0
Francia,Mallorca,2019,8,108752.0
Italia,Mallorca,2019,8,60536.0
Reino Unido,Mallorca,2019,8,385855.0
Alemania,Mallorca,2019,8,537802.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,8,110539.0
Países nórdicos,Mallorca,2019,8,92782.0
ESPAÑA,Mallorca,2019,7,219769.0
Francia,Mallorca,2019,7,91727.0
Italia,Mallorca,2019,7,56539.0
Reino Unido,Mallorca,2019,7,381961.0
Alemania,Mallorca,2019,7,563719.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,7,110854.0
Países nórdicos,Mallorca,2019,7,159275.0
ESPAÑA,Mallorca,2019,6,178882.0
Francia,Mallorca,2019,6,59764.0
Italia,Mallorca,2019,6,26997.0
Reino Unido,Mallorca,2019,6,382471.0
Alemania,Mallorca,2019,6,578139.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,6,90850.0
Países nórdicos,Mallorca,2019,6,114575.0
ESPAÑA,Mallorca,2019,5,110947.0
Francia,Mallorca,2019,5,80297.0
Italia,Mallorca,2019,5,13608.0
Reino Unido,Mallorca,2019,5,342608.0
Alemania,Mallorca,2019,5,485881.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,5,75172.0
Países nórdicos,Mallorca,2019,5,96629.0
ESPAÑA,Mallorca,2019,4,129137.0
Francia,Mallorca,2019,4,42811.0
Italia,Mallorca,2019,4,11323.0
Reino Unido,Mallorca,2019,4,187787.0
Alemania,Mallorca,2019,4,423959.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,4,70913.0
Países nórdicos,Mallorca,2019,4,49309.0
ESPAÑA,Mallorca,2019,3,101846.0
Francia,Mallorca,2019,3,7963.0
Italia,Mallorca,2019,3,3982.0
Reino Unido,Mallorca,2019,3,38963.0
Alemania,Mallorca,2019,3,210835.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,3,13407.0
Países nórdicos,Mallorca,2019,3,27202.0
ESPAÑA,Mallorca,2019,2,81515.0
Francia,Mallorca,2019,2,3989.0
Italia,Mallorca,2019,2,2409.0
Reino Unido,Mallorca,2019,2,19839.0
Alemania,Mallorca,2019,2,108901.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,2,5653.0
Países nórdicos,Mallorca,2019,2,5353.0
ESPAÑA,Mallorca,2019,1,94793.0
Francia,Mallorca,2019,1,3348.0
Italia,Mallorca,2019,1,
Reino Unido,Mallorca,2019,1,16465.0
Alemania,Mallorca,2019,1,69159.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2019,1,5368.0
