tipo_alojamiento,Isla,year,month,Num_establecimientos
Alojamiento de familiares o amigos,Mallorca,2020,5,0.0
Hoteles y similares,Mallorca,2020,4,0.0
Alojamiento de alquiler,Mallorca,2020,4,0.0
Otro alojamiento de mercado,Mallorca,2020,4,0.0
Alojamiento en propiedad,Mallorca,2020,4,0.0
Alojamiento de familiares o amigos,Mallorca,2020,4,0.0
Hoteles y similares,Mallorca,2020,3,62158.0
Alojamiento de alquiler,Mallorca,2020,3,26475.0
Otro alojamiento de mercado,Mallorca,2020,3,
Alojamiento en propiedad,Mallorca,2020,3,20478.0
Alojamiento de familiares o amigos,Mallorca,2020,3,41810.0
Hoteles y similares,Mallorca,2020,2,114540.0
Alojamiento de alquiler,Mallorca,2020,2,23926.0
Otro alojamiento de mercado,Mallorca,2020,2,2677.0
Alojamiento en propiedad,Mallorca,2020,2,40179.0
Alojamiento de familiares o amigos,Mallorca,2020,2,71950.0
Hoteles y similares,Mallorca,2020,1,50675.0
Alojamiento de alquiler,Mallorca,2020,1,14456.0
Otro alojamiento de mercado,Mallorca,2020,1,2546.0
Alojamiento en propiedad,Mallorca,2020,1,28553.0
Alojamiento de familiares o amigos,Mallorca,2020,1,108656.0
Hoteles y similares,Mallorca,2019,12,68303.0
Alojamiento de alquiler,Mallorca,2019,12,19116.0
Otro alojamiento de mercado,Mallorca,2019,12,2759.0
Alojamiento en propiedad,Mallorca,2019,12,17983.0
Alojamiento de familiares o amigos,Mallorca,2019,12,88972.0
Hoteles y similares,Mallorca,2019,11,91192.0
Alojamiento de alquiler,Mallorca,2019,11,40051.0
Otro alojamiento de mercado,Mallorca,2019,11,4699.0
Alojamiento en propiedad,Mallorca,2019,11,32789.0
Alojamiento de familiares o amigos,Mallorca,2019,11,84412.0
Hoteles y similares,Mallorca,2019,10,780644.0
Alojamiento de alquiler,Mallorca,2019,10,112302.0
Otro alojamiento de mercado,Mallorca,2019,10,30048.0
Alojamiento en propiedad,Mallorca,2019,10,38826.0
Alojamiento de familiares o amigos,Mallorca,2019,10,93633.0
Hoteles y similares,Mallorca,2019,9,1236445.0
Alojamiento de alquiler,Mallorca,2019,9,170708.0
