Isla,year,month,Tarifa_media_diaria
Menorca,2020,5,
Menorca,2020,4,0.0
Menorca,2020,3,
Menorca,2020,2,59.8
Menorca,2020,1,60.1
Menorca,2019,12,61.5
Menorca,2019,11,59.5
Menorca,2019,10,65.0
Menorca,2019,9,98.7
Menorca,2019,8,152.5
Menorca,2019,7,120.6
Menorca,2019,6,98.4
Menorca,2019,5,70.9
Menorca,2019,4,63.0
Menorca,2019,3,57.7
Menorca,2019,2,62.6
Menorca,2019,1,64.7
Menorca,2018,12,75.2
Menorca,2018,11,54.0
Menorca,2018,10,67.0
Menorca,2018,9,97.7
Menorca,2018,8,152.4
Menorca,2018,7,124.1
Menorca,2018,6,95.6
Menorca,2018,5,69.8
Menorca,2018,4,54.4
Menorca,2018,3,51.2
Menorca,2018,2,56.8
Menorca,2018,1,56.6
Menorca,2017,12,46.3
Menorca,2017,11,39.6
Menorca,2017,10,63.7
Menorca,2017,9,89.5
Menorca,2017,8,130.6
Menorca,2017,7,115.8
Menorca,2017,6,83.2
Menorca,2017,5,58.7
Menorca,2017,4,42.1
Menorca,2017,3,53.6
Menorca,2017,2,54.2
Menorca,2017,1,60.9
Menorca,2016,12,64.8
Menorca,2016,11,45.5
Menorca,2016,10,54.8
Menorca,2016,9,92.1
Menorca,2016,8,145.3
Menorca,2016,7,114.4
Menorca,2016,6,79.2
Menorca,2016,5,57.2
Menorca,2016,4,42.5
Menorca,2016,3,51.7
Menorca,2016,2,57.0
Menorca,2016,1,56.9
Menorca,2015,12,59.5
Menorca,2015,11,57.7
Menorca,2015,10,57.5
Menorca,2015,9,79.7
Menorca,2015,8,116.8
Menorca,2015,7,94.7
Menorca,2015,6,70.3
Menorca,2015,5,51.7
Menorca,2015,4,47.4
Menorca,2015,3,43.3
Menorca,2015,2,40.8
Menorca,2015,1,54.7
Menorca,2014,12,57.2
Menorca,2014,11,43.6
Menorca,2014,10,50.2
Menorca,2014,9,82.8
Menorca,2014,8,126.7
Menorca,2014,7,102.6
Menorca,2014,6,81.0
Menorca,2014,5,54.7
Menorca,2014,4,49.8
Menorca,2014,3,48.7
Menorca,2014,2,54.5
Menorca,2014,1,43.4
Menorca,2013,12,57.8
Menorca,2013,11,40.4
Menorca,2013,10,54.0
Menorca,2013,9,78.6
Menorca,2013,8,123.8
Menorca,2013,7,103.5
Menorca,2013,6,74.6
Menorca,2013,5,54.5
Menorca,2013,4,52.3
Menorca,2013,3,45.6
Menorca,2013,2,45.1
Menorca,2013,1,47.5
Menorca,2012,12,37.0
Menorca,2012,11,46.1
Menorca,2012,10,43.0
Menorca,2012,9,66.4
Menorca,2012,8,105.6
Menorca,2012,7,86.5
Menorca,2012,6,69.8
Menorca,2012,5,42.8
Menorca,2012,4,42.9
Menorca,2012,3,42.1
Menorca,2012,2,42.1
Menorca,2012,1,52.7
Menorca,2011,12,53.0
Menorca,2011,11,37.5
Menorca,2011,10,43.7
Menorca,2011,9,61.7
Menorca,2011,8,98.2
Menorca,2011,7,75.8
Menorca,2011,6,59.0
Menorca,2011,5,44.7
Menorca,2011,4,43.4
Menorca,2011,3,44.0
Menorca,2011,2,42.1
Menorca,2011,1,54.2
Menorca,2010,12,47.9
Menorca,2010,11,42.2
Menorca,2010,10,43.7
Menorca,2010,9,58.5
Menorca,2010,8,83.3
Menorca,2010,7,68.8
Menorca,2010,6,56.0
Menorca,2010,5,43.2
Menorca,2010,4,50.4
Menorca,2010,3,45.5
Menorca,2010,2,44.7
Menorca,2010,1,48.4
Menorca,2009,12,45.2
Menorca,2009,11,41.0
Menorca,2009,10,52.3
Menorca,2009,9,60.4
Menorca,2009,8,87.2
Menorca,2009,7,71.4
Menorca,2009,6,57.1
Menorca,2009,5,45.5
Menorca,2009,4,37.5
Menorca,2009,3,45.4
Menorca,2009,2,52.2
Menorca,2009,1,53.6
Menorca,2008,12,51.6
Menorca,2008,11,43.8
Menorca,2008,10,60.9
Menorca,2008,9,67.2
Menorca,2008,8,99.5
Menorca,2008,7,85.9
Menorca,2008,6,58.1
Menorca,2008,5,49.9
Menorca,2008,4,51.3
Menorca,2008,3,61.5
Menorca,2008,2,55.7
Menorca,2008,1,50.2
Ibiza_Formentera,2021,12,86.9
Ibiza_Formentera,2021,11,86.2
Ibiza_Formentera,2021,10,98.0
Ibiza_Formentera,2021,9,153.3
Ibiza_Formentera,2021,8,209.9
Ibiza_Formentera,2021,7,179.3
Ibiza_Formentera,2021,6,145.8
Ibiza_Formentera,2021,5,113.1
Ibiza_Formentera,2021,4,81.5
Ibiza_Formentera,2021,3,62.9
Ibiza_Formentera,2021,2,58.6
Ibiza_Formentera,2021,1,59.5
Ibiza_Formentera,2020,12,80.3
Ibiza_Formentera,2020,11,61.4
Ibiza_Formentera,2020,10,76.5
Ibiza_Formentera,2020,9,105.7
Ibiza_Formentera,2020,8,175.3
Ibiza_Formentera,2020,7,166.1
Ibiza_Formentera,2020,6,
Ibiza_Formentera,2020,5,
Ibiza_Formentera,2020,4,0.0
Ibiza_Formentera,2020,3,68.5
Ibiza_Formentera,2020,2,61.9
Ibiza_Formentera,2020,1,78.6
Ibiza_Formentera,2019,12,79.3
Ibiza_Formentera,2019,11,72.4
Ibiza_Formentera,2019,10,84.9
Ibiza_Formentera,2019,9,123.1
Ibiza_Formentera,2019,8,177.5
Ibiza_Formentera,2019,7,157.5
Ibiza_Formentera,2019,6,124.5
Ibiza_Formentera,2019,5,93.1
Ibiza_Formentera,2019,4,71.7
Ibiza_Formentera,2019,3,58.8
Ibiza_Formentera,2019,2,68.0
Ibiza_Formentera,2019,1,81.5
Ibiza_Formentera,2018,12,81.1
Ibiza_Formentera,2018,11,70.8
Ibiza_Formentera,2018,10,92.3
Ibiza_Formentera,2018,9,125.2
Ibiza_Formentera,2018,8,172.4
Ibiza_Formentera,2018,7,161.6
Ibiza_Formentera,2018,6,128.0
Ibiza_Formentera,2018,5,93.6
Ibiza_Formentera,2018,4,73.0
Ibiza_Formentera,2018,3,82.0
Ibiza_Formentera,2018,2,71.9
Ibiza_Formentera,2018,1,87.6
Ibiza_Formentera,2017,12,95.2
Ibiza_Formentera,2017,11,92.9
Ibiza_Formentera,2017,10,79.4
Ibiza_Formentera,2017,9,126.4
Ibiza_Formentera,2017,8,172.4
Ibiza_Formentera,2017,7,149.8
Ibiza_Formentera,2017,6,125.2
Ibiza_Formentera,2017,5,80.6
Ibiza_Formentera,2017,4,74.8
Ibiza_Formentera,2017,3,67.5
Ibiza_Formentera,2017,2,71.9
Ibiza_Formentera,2017,1,85.8
Ibiza_Formentera,2016,12,78.9
Ibiza_Formentera,2016,11,80.5
Ibiza_Formentera,2016,10,87.9
Ibiza_Formentera,2016,9,119.3
Ibiza_Formentera,2016,8,159.2
Ibiza_Formentera,2016,7,149.0
Ibiza_Formentera,2016,6,116.5
Ibiza_Formentera,2016,5,96.3
Ibiza_Formentera,2016,4,74.4
Ibiza_Formentera,2016,3,73.6
Ibiza_Formentera,2016,2,65.4
Ibiza_Formentera,2016,1,69.0
Ibiza_Formentera,2015,12,64.7
Ibiza_Formentera,2015,11,70.6
Ibiza_Formentera,2015,10,68.6
Ibiza_Formentera,2015,9,108.3
Ibiza_Formentera,2015,8,167.3
Ibiza_Formentera,2015,7,137.5
Ibiza_Formentera,2015,6,105.5
Ibiza_Formentera,2015,5,82.4
Ibiza_Formentera,2015,4,68.8
Ibiza_Formentera,2015,3,55.1
Ibiza_Formentera,2015,2,53.3
Ibiza_Formentera,2015,1,73.9
Ibiza_Formentera,2014,12,75.4
Ibiza_Formentera,2014,11,74.9
Ibiza_Formentera,2014,10,63.9
Ibiza_Formentera,2014,9,94.8
Ibiza_Formentera,2014,8,121.5
Ibiza_Formentera,2014,7,97.6
Ibiza_Formentera,2014,6,79.9
Ibiza_Formentera,2014,5,59.0
Ibiza_Formentera,2014,4,68.4
Ibiza_Formentera,2014,3,59.2
Ibiza_Formentera,2014,2,67.6
Ibiza_Formentera,2014,1,68.2
Ibiza_Formentera,2013,12,67.0
Ibiza_Formentera,2013,11,73.4
Ibiza_Formentera,2013,10,58.0
Ibiza_Formentera,2013,9,79.6
Ibiza_Formentera,2013,8,110.6
Ibiza_Formentera,2013,7,91.5
Ibiza_Formentera,2013,6,71.3
Ibiza_Formentera,2013,5,56.3
Ibiza_Formentera,2013,4,54.6
Ibiza_Formentera,2013,3,61.6
Ibiza_Formentera,2013,2,65.8
Ibiza_Formentera,2013,1,63.9
Ibiza_Formentera,2012,12,72.7
Ibiza_Formentera,2012,11,77.5
Ibiza_Formentera,2012,10,52.1
Ibiza_Formentera,2012,9,80.5
Ibiza_Formentera,2012,8,103.3
Ibiza_Formentera,2012,7,88.6
Ibiza_Formentera,2012,6,71.7
Ibiza_Formentera,2012,5,53.7
Ibiza_Formentera,2012,4,66.9
Ibiza_Formentera,2012,3,50.9
Ibiza_Formentera,2012,2,50.2
Ibiza_Formentera,2012,1,64.2
Ibiza_Formentera,2011,12,57.4
Ibiza_Formentera,2011,11,76.6
Ibiza_Formentera,2011,10,53.5
Ibiza_Formentera,2011,9,71.3
Ibiza_Formentera,2011,8,94.7
Ibiza_Formentera,2011,7,80.8
Ibiza_Formentera,2011,6,65.1
Ibiza_Formentera,2011,5,48.8
Ibiza_Formentera,2011,4,57.1
Ibiza_Formentera,2011,3,52.2
Ibiza_Formentera,2011,2,50.6
Ibiza_Formentera,2011,1,58.0
Ibiza_Formentera,2010,12,60.5
Ibiza_Formentera,2010,11,51.4
Ibiza_Formentera,2010,10,53.3
Ibiza_Formentera,2010,9,63.8
Ibiza_Formentera,2010,8,91.5
Ibiza_Formentera,2010,7,78.0
Ibiza_Formentera,2010,6,62.6
Ibiza_Formentera,2010,5,48.9
Ibiza_Formentera,2010,4,44.8
Ibiza_Formentera,2010,3,44.7
Ibiza_Formentera,2010,2,50.9
Ibiza_Formentera,2010,1,57.8
Ibiza_Formentera,2009,12,47.0
Ibiza_Formentera,2009,11,53.3
Ibiza_Formentera,2009,10,48.8
Ibiza_Formentera,2009,9,63.9
Ibiza_Formentera,2009,8,85.9
Ibiza_Formentera,2009,7,74.8
Ibiza_Formentera,2009,6,57.8
Ibiza_Formentera,2009,5,52.2
Ibiza_Formentera,2009,4,42.2
Ibiza_Formentera,2009,3,45.3
Ibiza_Formentera,2009,2,57.1
Ibiza_Formentera,2009,1,63.7
Ibiza_Formentera,2008,12,50.7
Ibiza_Formentera,2008,11,47.2
Ibiza_Formentera,2008,10,48.7
Ibiza_Formentera,2008,9,68.9
Ibiza_Formentera,2008,8,85.6
Ibiza_Formentera,2008,7,72.4
Ibiza_Formentera,2008,6,62.7
Ibiza_Formentera,2008,5,54.2
Ibiza_Formentera,2008,4,45.9
Ibiza_Formentera,2008,3,45.1
Ibiza_Formentera,2008,2,45.9
Ibiza_Formentera,2008,1,56.1
