procedencia,Isla,Transporte,Alojamiento,Manutención,Actividades,Otros,year,month
Extranjero,Mallorca,2.99,3.93,5.3,4.27,2.26,2020,11
España,Menorca,0.54,0.5,0.77,0.38,0.3,2020,11
Extranjero,Menorca,,,,,,2020,11
España,Ibiza_Formentera,0.67,0.47,0.99,0.46,0.22,2020,11
Extranjero,Ibiza_Formentera,0.77,,0.41,0.89,0.22,2020,11
España,Mallorca,5.48,2.93,6.16,3.98,3.78,2020,10
Extranjero,Mallorca,8.38,11.94,16.37,13.37,6.49,2020,10
España,Menorca,1.98,1.6,3.06,1.55,1.55,2020,10
Extranjero,Menorca,0.56,1.12,1.15,0.68,0.4,2020,10
España,Ibiza_Formentera,1.82,1.64,2.8,1.23,0.9,2020,10
Extranjero,Ibiza_Formentera,3.09,3.63,5.12,4.21,1.38,2020,10
España,Mallorca,8.18,11.78,11.91,8.74,14.83,2020,9
Extranjero,Mallorca,10.11,17.68,18.09,13.98,8.4,2020,9
España,Menorca,7.59,10.17,10.62,3.25,9.81,2020,9
Extranjero,Menorca,1.58,3.01,3.29,2.53,1.52,2020,9
España,Ibiza_Formentera,4.46,6.05,8.61,3.53,3.45,2020,9
Extranjero,Ibiza_Formentera,4.92,7.66,7.07,5.9,2.47,2020,9
España,Mallorca,25.1,27.3,29.58,18.49,23.92,2020,8
Extranjero,Mallorca,43.7,78.34,69.01,57.18,31.28,2020,8
España,Menorca,18.77,25.46,30.19,12.79,10.5,2020,8
Extranjero,Menorca,3.87,11.44,8.49,6.78,4.0,2020,8
España,Ibiza_Formentera,12.4,19.93,19.29,10.05,7.55,2020,8
Extranjero,Ibiza_Formentera,15.37,28.77,19.78,15.91,8.82,2020,8
España,Mallorca,15.2,9.51,15.63,10.53,9.14,2020,7
Extranjero,Mallorca,60.09,96.3,93.6,70.66,43.97,2020,7
España,Menorca,12.11,13.55,15.27,7.87,6.71,2020,7
Extranjero,Menorca,5.67,9.96,9.71,7.22,4.01,2020,7
España,Ibiza_Formentera,7.94,10.69,13.07,6.75,2.57,2020,7
Extranjero,Ibiza_Formentera,18.69,29.02,22.79,21.32,8.91,2020,7
España,Mallorca,2.69,1.42,3.28,2.25,1.52,2020,6
Extranjero,Mallorca,3.64,4.28,5.29,3.81,2.86,2020,6
España,Menorca,,,,,,2020,6
Extranjero,Menorca,,,,,,2020,6
España,Ibiza_Formentera,,,,,,2020,6
Extranjero,Ibiza_Formentera,,,,,,2020,6
España,Mallorca,,,,,,2020,5
Extranjero,Mallorca,,,,,,2020,5
España,Menorca,,,,,,2020,5
Extranjero,Menorca,,,,,,2020,5
España,Ibiza_Formentera,,,,,,2020,5
Extranjero,Ibiza_Formentera,,,,,,2020,5
España,Mallorca,,,,,,2020,4
Extranjero,Mallorca,,,,,,2020,4
España,Menorca,,,,,,2020,4
Extranjero,Menorca,,,,,,2020,4
España,Ibiza_Formentera,,,,,,2020,4
Extranjero,Ibiza_Formentera,,,,,,2020,4
España,Mallorca,4.38,1.9,3.9,2.9,2.56,2020,3
Extranjero,Mallorca,15.95,18.07,22.3,16.85,8.16,2020,3
España,Menorca,1.27,0.52,1.51,0.92,0.38,2020,3
Extranjero,Menorca,0.1,,0.24,0.06,0.1,2020,3
España,Ibiza_Formentera,1.17,0.38,1.86,1.0,0.32,2020,3
Extranjero,Ibiza_Formentera,1.22,,1.14,1.05,0.21,2020,3
España,Mallorca,8.53,4.07,8.69,6.15,6.61,2020,2
Extranjero,Mallorca,27.62,26.24,39.12,32.55,14.49,2020,2
España,Menorca,2.2,0.93,2.35,1.52,0.8,2020,2
Extranjero,Menorca,,,,,,2020,2
España,Ibiza_Formentera,1.78,0.83,2.41,1.24,0.49,2020,2
Extranjero,Ibiza_Formentera,1.1,,2.0,1.54,0.63,2020,2
España,Mallorca,12.22,2.73,15.5,10.77,7.88,2020,1
Extranjero,Mallorca,18.05,15.35,24.47,21.01,10.38,2020,1
España,Menorca,1.38,0.41,1.35,0.76,0.43,2020,1
Extranjero,Menorca,0.18,,0.59,0.54,0.19,2020,1
España,Ibiza_Formentera,1.75,0.47,2.74,1.42,0.22,2020,1
Extranjero,Ibiza_Formentera,1.25,,1.4,0.96,0.37,2020,1
España,Mallorca,9.55,2.5,10.86,7.25,5.3,2019,12
Extranjero,Mallorca,18.35,27.59,29.17,29.18,12.27,2019,12
España,Menorca,1.53,0.58,1.49,0.76,0.58,2019,12
Extranjero,Menorca,,,0.54,0.43,0.26,2019,12
España,Ibiza_Formentera,2.27,,3.48,2.07,,2019,12
Extranjero,Ibiza_Formentera,1.69,1.5,3.31,3.42,1.19,2019,12
España,Mallorca,9.43,4.32,9.08,5.98,4.62,2019,11
Extranjero,Mallorca,27.55,34.27,44.26,34.62,18.15,2019,11
España,Menorca,1.44,0.74,1.39,0.77,0.54,2019,11
Extranjero,Menorca,,,0.77,0.46,0.3,2019,11
España,Ibiza_Formentera,1.95,0.49,2.35,1.9,0.54,2019,11
Extranjero,Ibiza_Formentera,1.49,1.39,2.45,1.93,0.87,2019,11
España,Mallorca,13.03,9.12,14.53,9.28,10.53,2019,10
Extranjero,Mallorca,94.39,164.18,160.94,142.41,81.32,2019,10
España,Menorca,2.45,2.45,3.45,1.74,1.72,2019,10
Extranjero,Menorca,4.31,6.74,9.38,8.19,5.44,2019,10
España,Ibiza_Formentera,4.31,7.19,6.42,3.0,3.11,2019,10
Extranjero,Ibiza_Formentera,32.81,37.75,36.7,36.42,13.58,2019,10
España,Mallorca,17.17,18.02,27.71,21.52,24.64,2019,9
Extranjero,Mallorca,146.67,244.24,258.89,232.83,119.93,2019,9
España,Menorca,7.51,11.4,10.53,5.28,5.95,2019,9
Extranjero,Menorca,12.42,25.74,26.11,20.52,11.51,2019,9
España,Ibiza_Formentera,7.83,12.01,12.77,6.6,4.32,2019,9
Extranjero,Ibiza_Formentera,62.88,81.32,69.33,70.2,26.52,2019,9
España,Mallorca,28.59,34.57,36.73,23.0,35.6,2019,8
Extranjero,Mallorca,174.32,335.44,281.19,258.71,147.21,2019,8
España,Menorca,16.12,24.15,25.98,11.91,12.23,2019,8
