procedencia,Isla,Transporte,Alojamiento,Manutención,Actividades,Otros,year,month
España,Menorca,7.69,7.06,9.1,3.75,7.21,2016,6
Extranjero,Menorca,9.98,15.3,18.71,16.56,11.09,2016,6
España,Ibiza_Formentera,8.27,9.17,11.53,5.65,6.66,2016,6
Extranjero,Ibiza_Formentera,70.33,56.47,60.91,53.95,24.75,2016,6
España,Mallorca,9.26,7.07,8.38,6.84,8.23,2016,5
Extranjero,Mallorca,124.16,193.18,190.28,154.08,96.75,2016,5
España,Menorca,2.07,2.09,2.36,1.15,2.61,2016,5
Extranjero,Menorca,4.99,,13.94,10.15,7.45,2016,5
España,Ibiza_Formentera,5.53,4.74,7.18,2.94,3.75,2016,5
Extranjero,Ibiza_Formentera,34.75,40.1,45.18,33.58,22.61,2016,5
España,Mallorca,9.87,5.88,9.89,7.91,8.33,2016,4
Extranjero,Mallorca,83.7,95.24,109.06,77.41,61.08,2016,4
España,Menorca,2.31,0.92,2.88,1.4,2.86,2016,4
Extranjero,Menorca,1.72,,2.29,1.76,1.36,2016,4
España,Ibiza_Formentera,5.35,0.79,7.77,4.26,1.89,2016,4
Extranjero,Ibiza_Formentera,12.69,11.63,17.62,10.65,7.66,2016,4
España,Mallorca,9.53,5.2,9.44,6.75,7.81,2016,3
Extranjero,Mallorca,48.75,62.02,70.37,46.85,38.21,2016,3
España,Menorca,1.77,0.74,2.23,1.13,1.88,2016,3
Extranjero,Menorca,0.35,,0.44,,0.15,2016,3
España,Ibiza_Formentera,4.46,0.68,6.65,3.66,1.21,2016,3
Extranjero,Ibiza_Formentera,3.21,1.15,3.54,2.2,1.13,2016,3
España,Mallorca,6.43,3.77,5.57,4.42,4.23,2016,2
Extranjero,Mallorca,30.83,25.61,32.78,26.43,17.71,2016,2
España,Menorca,1.44,,1.41,0.62,0.42,2016,2
Extranjero,Menorca,,,,,,2016,2
España,Ibiza_Formentera,1.95,0.5,2.76,1.44,0.6,2016,2
Extranjero,Ibiza_Formentera,1.12,,2.27,0.78,1.24,2016,2
España,Mallorca,7.18,2.28,6.89,5.47,4.49,2016,1
Extranjero,Mallorca,18.57,13.85,21.41,15.72,10.95,2016,1
España,Menorca,1.19,,1.25,0.5,0.32,2016,1
Extranjero,Menorca,,,,,,2016,1
España,Ibiza_Formentera,2.49,0.58,3.93,1.9,1.0,2016,1
Extranjero,Ibiza_Formentera,1.29,,2.53,1.41,0.93,2016,1
España,Mallorca,5.48,2.14,5.13,3.82,3.26,2015,12
Extranjero,Mallorca,21.11,13.23,20.57,17.22,9.9,2015,12
España,Menorca,0.7,0.29,0.66,0.28,0.44,2015,12
Extranjero,Menorca,,,,,,2015,12
España,Ibiza_Formentera,1.53,0.54,2.1,1.01,0.53,2015,12
Extranjero,Ibiza_Formentera,1.41,1.52,2.36,1.5,0.72,2015,12
España,Mallorca,6.64,3.49,5.96,4.0,4.05,2015,11
Extranjero,Mallorca,21.01,18.3,26.26,22.72,13.98,2015,11
España,Menorca,1.12,0.48,1.16,0.48,0.57,2015,11
Extranjero,Menorca,,,0.2,0.1,0.11,2015,11
España,Ibiza_Formentera,2.0,0.88,2.83,1.34,0.92,2015,11
Extranjero,Ibiza_Formentera,1.93,0.63,2.26,1.46,0.98,2015,11
España,Mallorca,6.52,6.44,5.45,3.44,4.76,2015,10
Extranjero,Mallorca,67.01,117.09,114.74,90.5,72.91,2015,10
España,Menorca,2.27,2.19,2.83,0.85,2.11,2015,10
Extranjero,Menorca,2.05,4.61,5.48,4.0,2.51,2015,10
España,Ibiza_Formentera,3.94,3.25,5.84,2.54,1.85,2015,10
Extranjero,Ibiza_Formentera,18.65,26.8,26.26,18.16,11.51,2015,10
