origen_turista,Gasto_persona,Gasto_persona_día,year,month
"Bélgica, Luxemburgo y Países Bajos",1147.45,77.1,2020,6
Países nórdicos,,,2020,6
ESPAÑA,,,2020,5
Francia,,,2020,5
Italia,,,2020,5
Reino Unido,,,2020,5
Alemania,,,2020,5
"Bélgica, Luxemburgo y Países Bajos",,,2020,5
Países nórdicos,,,2020,5
ESPAÑA,,,2020,4
Francia,,,2020,4
Italia,,,2020,4
Reino Unido,,,2020,4
Alemania,,,2020,4
"Bélgica, Luxemburgo y Países Bajos",,,2020,4
Países nórdicos,,,2020,4
ESPAÑA,395.39,87.76,2020,3
Francia,712.34,104.5,2020,3
Italia,,,2020,3
Reino Unido,808.32,155.92,2020,3
Alemania,883.92,157.2,2020,3
"Bélgica, Luxemburgo y Países Bajos",810.03,187.88,2020,3
Países nórdicos,,,2020,3
ESPAÑA,423.68,95.65,2020,2
Francia,835.78,125.74,2020,2
Italia,,,2020,2
Reino Unido,883.42,126.57,2020,2
Alemania,900.94,142.26,2020,2
"Bélgica, Luxemburgo y Países Bajos",939.49,169.75,2020,2
Países nórdicos,,,2020,2
ESPAÑA,439.29,60.8,2020,1
Francia,,,2020,1
Italia,,,2020,1
Reino Unido,884.37,125.1,2020,1
Alemania,1007.97,113.89,2020,1
"Bélgica, Luxemburgo y Países Bajos",874.68,160.94,2020,1
Países nórdicos,,,2020,1
ESPAÑA,423.05,74.24,2019,12
Francia,1401.99,112.34,2019,12
Italia,1651.76,75.89,2019,12
Reino Unido,754.97,131.46,2019,12
Alemania,951.82,140.12,2019,12
"Bélgica, Luxemburgo y Países Bajos",1074.66,170.28,2019,12
Países nórdicos,,,2019,12
ESPAÑA,398.66,85.17,2019,11
Francia,811.49,117.2,2019,11
Italia,1251.37,82.87,2019,11
Reino Unido,1081.25,75.97,2019,11
Alemania,1002.84,136.87,2019,11
"Bélgica, Luxemburgo y Países Bajos",918.85,136.61,2019,11
Países nórdicos,1159.41,169.93,2019,11
ESPAÑA,559.02,86.26,2019,10
Francia,954.07,155.25,2019,10
Italia,851.76,128.06,2019,10
Reino Unido,983.93,137.99,2019,10
Alemania,1041.02,146.64,2019,10
"Bélgica, Luxemburgo y Países Bajos",1062.08,176.31,2019,10
Países nórdicos,1256.35,160.29,2019,10
ESPAÑA,705.04,90.24,2019,9
Francia,1021.63,151.72,2019,9
Italia,949.19,132.15,2019,9
Reino Unido,976.48,150.64,2019,9
Alemania,988.47,162.67,2019,9
"Bélgica, Luxemburgo y Países Bajos",1170.03,161.91,2019,9
Países nórdicos,1150.1,169.51,2019,9
ESPAÑA,801.21,95.98,2019,8
Francia,1182.59,149.77,2019,8
Italia,1124.47,164.92,2019,8
Reino Unido,1167.04,163.22,2019,8
Alemania,1151.86,151.12,2019,8
"Bélgica, Luxemburgo y Países Bajos",1313.62,176.2,2019,8
Países nórdicos,1317.16,183.4,2019,8
ESPAÑA,660.68,106.62,2019,7
Francia,1133.84,147.99,2019,7
Italia,1041.23,172.94,2019,7
Reino Unido,1227.15,164.25,2019,7
Alemania,1121.09,154.75,2019,7
"Bélgica, Luxemburgo y Países Bajos",1264.65,173.93,2019,7
Países nórdicos,1309.52,171.11,2019,7
ESPAÑA,592.25,103.31,2019,6
Francia,957.51,155.47,2019,6
Italia,832.61,143.74,2019,6
Reino Unido,1016.17,146.7,2019,6
Alemania,962.35,154.38,2019,6
"Bélgica, Luxemburgo y Países Bajos",1080.08,174.92,2019,6
Países nórdicos,1152.78,161.85,2019,6
ESPAÑA,572.02,103.93,2019,5
Francia,873.72,163.45,2019,5
Italia,657.49,171.26,2019,5
Reino Unido,927.43,158.01,2019,5
Alemania,892.6,162.46,2019,5
"Bélgica, Luxemburgo y Países Bajos",983.71,169.01,2019,5
Países nórdicos,1063.38,181.6,2019,5
ESPAÑA,450.64,82.83,2019,4
Francia,895.42,146.41,2019,4
Italia,661.93,122.6,2019,4
Reino Unido,805.77,156.89,2019,4
Alemania,924.74,133.64,2019,4
"Bélgica, Luxemburgo y Países Bajos",927.96,178.86,2019,4
Países nórdicos,1139.67,167.3,2019,4
ESPAÑA,430.88,83.1,2019,3
Francia,753.5,127.6,2019,3
Italia,,,2019,3
Reino Unido,872.44,154.69,2019,3
Alemania,933.33,155.11,2019,3
"Bélgica, Luxemburgo y Países Bajos",872.55,181.43,2019,3
Países nórdicos,,,2019,3
ESPAÑA,402.9,84.34,2019,2
Francia,588.95,139.04,2019,2
Italia,,,2019,2
Reino Unido,750.82,125.49,2019,2
Alemania,935.54,142.4,2019,2
"Bélgica, Luxemburgo y Países Bajos",776.29,148.09,2019,2
Países nórdicos,,,2019,2
ESPAÑA,418.22,64.48,2019,1
Francia,731.3,83.63,2019,1
Italia,,,2019,1
Reino Unido,761.94,122.12,2019,1
Alemania,832.78,114.05,2019,1
"Bélgica, Luxemburgo y Países Bajos",827.2,118.74,2019,1
Países nórdicos,,,2019,1
ESPAÑA,372.31,79.01,2018,12
Francia,830.02,121.42,2018,12
Italia,,,2018,12
Reino Unido,751.19,144.06,2018,12
Alemania,833.14,143.61,2018,12
"Bélgica, Luxemburgo y Países Bajos",920.02,145.37,2018,12
Países nórdicos,1430.2,149.67,2018,12
ESPAÑA,429.27,75.83,2018,11
Francia,856.25,93.7,2018,11
Italia,783.33,97.24,2018,11
Reino Unido,826.31,120.69,2018,11
Alemania,979.25,111.97,2018,11
"Bélgica, Luxemburgo y Países Bajos",879.03,172.9,2018,11
Países nórdicos,1023.3,173.54,2018,11
ESPAÑA,530.25,91.63,2018,10
Francia,857.69,138.85,2018,10
Italia,807.2,132.43,2018,10
Reino Unido,952.17,134.71,2018,10
Alemania,1029.9,130.69,2018,10
"Bélgica, Luxemburgo y Países Bajos",1038.11,175.66,2018,10
Países nórdicos,1127.32,151.8,2018,10
ESPAÑA,611.52,81.53,2018,9
Francia,974.5,147.55,2018,9
Italia,1059.82,123.26,2018,9
Reino Unido,937.19,139.13,2018,9
Alemania,998.45,142.15,2018,9
"Bélgica, Luxemburgo y Países Bajos",1074.71,150.76,2018,9
Países nórdicos,1135.38,169.46,2018,9
ESPAÑA,726.91,86.54,2018,8
Francia,1253.01,145.56,2018,8
Italia,1137.51,156.8,2018,8
Reino Unido,1149.14,152.76,2018,8
Alemania,1174.3,150.98,2018,8
"Bélgica, Luxemburgo y Países Bajos",1289.19,174.35,2018,8
Países nórdicos,1285.82,167.05,2018,8
ESPAÑA,653.51,96.04,2018,7
Francia,1144.67,142.28,2018,7
Italia,983.71,157.14,2018,7
Reino Unido,1101.31,171.26,2018,7
Alemania,1031.26,156.1,2018,7
"Bélgica, Luxemburgo y Países Bajos",1197.48,177.7,2018,7
Países nórdicos,1409.19,168.08,2018,7
ESPAÑA,565.96,111.0,2018,6
Francia,806.94,162.47,2018,6
Italia,814.07,139.75,2018,6
Reino Unido,970.39,139.71,2018,6
Alemania,992.91,154.39,2018,6
"Bélgica, Luxemburgo y Países Bajos",1039.43,180.1,2018,6
Países nórdicos,1088.09,154.01,2018,6
ESPAÑA,482.88,111.23,2018,5
Francia,843.38,143.39,2018,5
Italia,677.96,153.42,2018,5
Reino Unido,891.06,145.64,2018,5
Alemania,945.42,154.41,2018,5
"Bélgica, Luxemburgo y Países Bajos",1026.66,164.44,2018,5
Países nórdicos,1176.11,170.48,2018,5
ESPAÑA,476.96,86.63,2018,4
Francia,806.34,135.83,2018,4
Italia,605.74,134.47,2018,4
Reino Unido,786.07,146.1,2018,4
