origen_turista,Gasto_persona,Gasto_persona_día,year,month
Francia,,,2014,1
Italia,,,2014,1
Reino Unido,830.28,71.41,2014,1
Alemania,911.9,85.19,2014,1
"Bélgica, Luxemburgo y Países Bajos",,,2014,1
Países nórdicos,,,2014,1
ESPAÑA,691.75,90.57,2013,12
Francia,,,2013,12
Italia,,,2013,12
Reino Unido,721.71,81.15,2013,12
Alemania,857.13,77.25,2013,12
"Bélgica, Luxemburgo y Países Bajos",,,2013,12
Países nórdicos,,,2013,12
ESPAÑA,778.95,87.37,2013,11
Francia,,,2013,11
Italia,,,2013,11
Reino Unido,730.29,99.22,2013,11
Alemania,726.27,94.89,2013,11
"Bélgica, Luxemburgo y Países Bajos",,,2013,11
Países nórdicos,,,2013,11
ESPAÑA,762.32,80.53,2013,10
Francia,1014.16,120.55,2013,10
Italia,1305.27,97.28,2013,10
Reino Unido,884.87,110.35,2013,10
Alemania,1000.21,123.13,2013,10
"Bélgica, Luxemburgo y Países Bajos",1000.92,112.24,2013,10
Países nórdicos,904.54,126.53,2013,10
ESPAÑA,722.96,90.33,2013,9
Francia,872.58,102.12,2013,9
Italia,1011.04,122.45,2013,9
Reino Unido,922.87,112.43,2013,9
Alemania,957.03,109.96,2013,9
"Bélgica, Luxemburgo y Países Bajos",1196.7,111.25,2013,9
Países nórdicos,924.48,125.54,2013,9
ESPAÑA,811.76,96.46,2013,8
Francia,1221.41,127.82,2013,8
Italia,1159.42,134.31,2013,8
Reino Unido,1020.62,115.01,2013,8
Alemania,1019.66,108.79,2013,8
"Bélgica, Luxemburgo y Países Bajos",1051.48,125.84,2013,8
Países nórdicos,1467.36,175.46,2013,8
ESPAÑA,687.81,91.4,2013,7
Francia,985.68,103.14,2013,7
Italia,965.91,124.33,2013,7
Reino Unido,924.17,113.5,2013,7
Alemania,939.99,102.76,2013,7
"Bélgica, Luxemburgo y Países Bajos",1031.97,113.78,2013,7
Países nórdicos,1396.16,162.13,2013,7
ESPAÑA,653.78,94.3,2013,6
Francia,754.5,97.63,2013,6
Italia,779.78,126.23,2013,6
Reino Unido,840.67,106.95,2013,6
Alemania,904.39,110.69,2013,6
"Bélgica, Luxemburgo y Países Bajos",906.5,116.19,2013,6
Países nórdicos,1158.65,142.54,2013,6
ESPAÑA,538.93,85.33,2013,5
Francia,820.18,91.85,2013,5
Italia,564.03,100.43,2013,5
Reino Unido,677.06,99.97,2013,5
Alemania,809.24,108.01,2013,5
"Bélgica, Luxemburgo y Países Bajos",912.27,116.65,2013,5
Países nórdicos,835.64,118.92,2013,5
ESPAÑA,569.27,79.55,2013,4
Francia,646.35,92.06,2013,4
Italia,412.67,86.46,2013,4
Reino Unido,623.57,94.91,2013,4
Alemania,762.83,103.08,2013,4
"Bélgica, Luxemburgo y Países Bajos",777.97,115.9,2013,4
Países nórdicos,788.43,112.44,2013,4
ESPAÑA,682.93,94.66,2013,3
Francia,670.29,71.03,2013,3
Italia,699.79,89.75,2013,3
Reino Unido,744.3,109.39,2013,3
Alemania,779.74,95.44,2013,3
"Bélgica, Luxemburgo y Países Bajos",941.36,123.29,2013,3
Países nórdicos,998.96,107.97,2013,3
ESPAÑA,738.95,102.45,2013,2
Francia,,,2013,2
Italia,,,2013,2
Reino Unido,687.72,85.47,2013,2
Alemania,776.9,90.17,2013,2
"Bélgica, Luxemburgo y Países Bajos",,,2013,2
Países nórdicos,,,2013,2
ESPAÑA,539.53,68.72,2013,1
Francia,,,2013,1
Italia,,,2013,1
Reino Unido,677.89,82.62,2013,1
Alemania,,,2013,1
"Bélgica, Luxemburgo y Países Bajos",,,2013,1
Países nórdicos,,,2013,1
ESPAÑA,670.56,88.18,2012,12
Francia,,,2012,12
Italia,,,2012,12
Reino Unido,983.44,86.83,2012,12
Alemania,752.3,79.6,2012,12
"Bélgica, Luxemburgo y Países Bajos",,,2012,12
Países nórdicos,,,2012,12
ESPAÑA,651.9,86.66,2012,11
Francia,,,2012,11
Italia,,,2012,11
Reino Unido,631.48,78.11,2012,11
Alemania,846.24,103.23,2012,11
"Bélgica, Luxemburgo y Países Bajos",,,2012,11
Países nórdicos,,,2012,11
ESPAÑA,629.01,81.09,2012,10
Francia,794.71,89.54,2012,10
Italia,1030.5,68.51,2012,10
Reino Unido,801.54,96.48,2012,10
Alemania,936.45,115.87,2012,10
"Bélgica, Luxemburgo y Países Bajos",927.6,102.52,2012,10
Países nórdicos,962.3,116.07,2012,10
ESPAÑA,692.44,86.0,2012,9
Francia,789.49,90.46,2012,9
Italia,995.05,117.07,2012,9
Reino Unido,944.95,111.77,2012,9
Alemania,985.56,110.73,2012,9
"Bélgica, Luxemburgo y Países Bajos",1259.53,140.88,2012,9
Países nórdicos,1071.8,133.96,2012,9
ESPAÑA,822.4,95.92,2012,8
Francia,1172.65,125.38,2012,8
Italia,1080.45,129.2,2012,8
Reino Unido,1019.3,108.63,2012,8
Alemania,945.66,101.03,2012,8
"Bélgica, Luxemburgo y Países Bajos",1096.03,109.53,2012,8
Países nórdicos,1152.99,129.31,2012,8
ESPAÑA,731.94,96.75,2012,7
Francia,887.8,94.2,2012,7
Italia,969.16,131.11,2012,7
Reino Unido,923.36,110.35,2012,7
Alemania,993.63,105.64,2012,7
"Bélgica, Luxemburgo y Países Bajos",1049.1,112.89,2012,7
Países nórdicos,1312.0,143.47,2012,7
ESPAÑA,630.28,93.42,2012,6
Francia,725.32,87.66,2012,6
Italia,768.77,115.34,2012,6
Reino Unido,836.23,102.0,2012,6
Alemania,907.96,106.88,2012,6
"Bélgica, Luxemburgo y Países Bajos",829.52,96.83,2012,6
Países nórdicos,1370.19,164.54,2012,6
ESPAÑA,557.13,88.7,2012,5
Francia,653.02,107.28,2012,5
Italia,656.12,108.6,2012,5
Reino Unido,611.14,89.1,2012,5
Alemania,756.58,103.84,2012,5
"Bélgica, Luxemburgo y Países Bajos",708.32,94.3,2012,5
Países nórdicos,943.8,119.58,2012,5
ESPAÑA,632.26,86.87,2012,4
Francia,623.64,83.72,2012,4
Italia,,,2012,4
Reino Unido,666.15,89.66,2012,4
Alemania,815.26,108.6,2012,4
"Bélgica, Luxemburgo y Países Bajos",805.29,101.47,2012,4
Países nórdicos,937.56,131.56,2012,4
ESPAÑA,584.98,86.53,2012,3
Francia,,,2012,3
Italia,,,2012,3
Reino Unido,667.67,87.98,2012,3
Alemania,839.97,93.77,2012,3
"Bélgica, Luxemburgo y Países Bajos",,,2012,3
Países nórdicos,,,2012,3
ESPAÑA,553.16,86.6,2012,2
Francia,,,2012,2
Italia,,,2012,2
Reino Unido,669.28,91.07,2012,2
Alemania,889.63,95.07,2012,2
"Bélgica, Luxemburgo y Países Bajos",,,2012,2
Países nórdicos,,,2012,2
ESPAÑA,614.04,83.29,2012,1
Francia,,,2012,1
Italia,,,2012,1
Reino Unido,780.23,66.71,2012,1
Alemania,1200.67,102.2,2012,1
"Bélgica, Luxemburgo y Países Bajos",,,2012,1
Países nórdicos,,,2012,1
ESPAÑA,650.56,99.85,2011,12
Francia,,,2011,12
Italia,,,2011,12
Reino Unido,842.31,66.4,2011,12
Alemania,1071.51,92.7,2011,12
"Bélgica, Luxemburgo y Países Bajos",,,2011,12
Países nórdicos,,,2011,12
ESPAÑA,611.79,78.08,2011,11
Francia,,,2011,11
Italia,,,2011,11
Reino Unido,654.4,98.63,2011,11
Alemania,1093.99,98.42,2011,11
"Bélgica, Luxemburgo y Países Bajos",,,2011,11
Países nórdicos,,,2011,11
ESPAÑA,575.3,68.24,2011,10
Francia,,,2011,10
Italia,1011.14,88.6,2011,10
Reino Unido,602.93,79.75,2011,10
Alemania,848.17,98.31,2011,10
"Bélgica, Luxemburgo y Países Bajos",1131.14,98.41,2011,10
Países nórdicos,1095.48,132.69,2011,10
ESPAÑA,687.98,81.68,2011,9
Francia,901.64,107.02,2011,9
Italia,1025.24,112.0,2011,9
Reino Unido,813.33,95.11,2011,9
Alemania,925.07,105.49,2011,9
"Bélgica, Luxemburgo y Países Bajos",895.25,101.26,2011,9
Países nórdicos,1099.2,148.58,2011,9
ESPAÑA,814.26,93.8,2011,8
Francia,1281.34,117.32,2011,8
Italia,1180.61,135.3,2011,8
Reino Unido,969.52,103.4,2011,8
Alemania,901.0,96.94,2011,8
"Bélgica, Luxemburgo y Países Bajos",1101.33,118.94,2011,8
Países nórdicos,1107.65,124.22,2011,8
ESPAÑA,721.23,97.89,2011,7
Francia,1081.53,114.33,2011,7
Italia,1053.09,131.29,2011,7
Reino Unido,942.81,108.27,2011,7
Alemania,1021.97,113.85,2011,7
"Bélgica, Luxemburgo y Países Bajos",1169.41,116.31,2011,7
Países nórdicos,1234.25,136.84,2011,7
ESPAÑA,628.41,91.94,2011,6
Francia,803.28,109.43,2011,6
Italia,915.48,125.48,2011,6
Reino Unido,829.58,101.48,2011,6
Alemania,902.24,116.87,2011,6
"Bélgica, Luxemburgo y Países Bajos",903.94,104.67,2011,6
Países nórdicos,1107.97,138.16,2011,6
ESPAÑA,667.91,90.52,2011,5
Francia,674.57,93.98,2011,5
Italia,912.69,103.31,2011,5
Reino Unido,618.05,81.46,2011,5
Alemania,738.41,105.0,2011,5
"Bélgica, Luxemburgo y Países Bajos",744.89,99.62,2011,5
Países nórdicos,1001.85,145.77,2011,5
ESPAÑA,595.25,78.66,2011,4
Francia,,,2011,4
Italia,627.92,79.81,2011,4
Reino Unido,771.21,102.65,2011,4
Alemania,834.1,100.53,2011,4
"Bélgica, Luxemburgo y Países Bajos",840.61,110.01,2011,4
Países nórdicos,1055.59,142.56,2011,4
ESPAÑA,554.67,82.76,2011,3
Francia,,,2011,3
Italia,,,2011,3
Reino Unido,667.85,94.71,2011,3
Alemania,815.91,95.27,2011,3
"Bélgica, Luxemburgo y Países Bajos",,,2011,3
Países nórdicos,,,2011,3
ESPAÑA,528.89,88.36,2011,2
Francia,,,2011,2
Italia,,,2011,2
Reino Unido,692.81,71.33,2011,2
Alemania,838.86,104.55,2011,2
"Bélgica, Luxemburgo y Países Bajos",,,2011,2
Países nórdicos,,,2011,2
ESPAÑA,612.26,88.26,2011,1
Francia,,,2011,1
Italia,,,2011,1
Reino Unido,692.29,73.03,2011,1
Alemania,766.76,89.14,2011,1
"Bélgica, Luxemburgo y Países Bajos",,,2011,1
Países nórdicos,,,2011,1
ESPAÑA,696.1,104.19,2010,12
Francia,,,2010,12
Italia,,,2010,12
Reino Unido,826.06,75.16,2010,12
Alemania,898.67,95.05,2010,12
"Bélgica, Luxemburgo y Países Bajos",,,2010,12
Países nórdicos,,,2010,12
ESPAÑA,563.87,78.58,2010,11
Francia,,,2010,11
Italia,,,2010,11
Reino Unido,785.51,84.25,2010,11
Alemania,920.6,93.76,2010,11
"Bélgica, Luxemburgo y Países Bajos",,,2010,11
Países nórdicos,,,2010,11
ESPAÑA,686.93,79.85,2010,10
Francia,,,2010,10
Italia,,,2010,10
Reino Unido,746.77,99.35,2010,10
Alemania,838.17,96.23,2010,10
"Bélgica, Luxemburgo y Países Bajos",997.48,102.02,2010,10
Países nórdicos,991.21,126.85,2010,10
ESPAÑA,711.07,86.68,2010,9
Francia,,,2010,9
Italia,870.78,101.6,2010,9
Reino Unido,940.96,111.25,2010,9
Alemania,943.1,111.15,2010,9
"Bélgica, Luxemburgo y Países Bajos",1132.23,122.81,2010,9
Países nórdicos,,,2010,9
ESPAÑA,884.16,98.86,2010,8
Francia,1061.21,107.37,2010,8
Italia,1253.79,133.47,2010,8
Reino Unido,1006.89,110.12,2010,8
Alemania,884.06,101.05,2010,8
"Bélgica, Luxemburgo y Países Bajos",1024.58,116.15,2010,8
Países nórdicos,1163.72,136.69,2010,8
ESPAÑA,717.28,89.62,2010,7
Francia,1103.37,105.86,2010,7
Italia,1011.22,117.71,2010,7
Reino Unido,997.36,116.81,2010,7
Alemania,973.04,115.2,2010,7
"Bélgica, Luxemburgo y Países Bajos",1049.74,111.47,2010,7
Países nórdicos,1298.32,137.0,2010,7
ESPAÑA,687.63,101.26,2010,6
Francia,,,2010,6
Italia,834.92,109.07,2010,6
Reino Unido,910.02,115.23,2010,6
Alemania,928.41,117.19,2010,6
"Bélgica, Luxemburgo y Países Bajos",1034.38,126.18,2010,6
Países nórdicos,1152.48,129.14,2010,6
ESPAÑA,551.95,77.2,2010,5
Francia,,,2010,5
Italia,835.07,79.15,2010,5
Reino Unido,619.81,85.03,2010,5
Alemania,809.43,104.01,2010,5
"Bélgica, Luxemburgo y Países Bajos",712.91,89.99,2010,5
Países nórdicos,998.44,115.16,2010,5
ESPAÑA,599.83,70.58,2010,4
Francia,,,2010,4
Italia,,,2010,4
Reino Unido,616.98,77.34,2010,4
Alemania,878.93,104.18,2010,4
"Bélgica, Luxemburgo y Países Bajos",695.23,89.72,2010,4
Países nórdicos,1113.74,113.38,2010,4
ESPAÑA,624.67,109.82,2010,3
Francia,,,2010,3
Italia,,,2010,3
Reino Unido,698.68,87.79,2010,3
Alemania,885.62,104.99,2010,3
"Bélgica, Luxemburgo y Países Bajos",,,2010,3
Países nórdicos,,,2010,3
ESPAÑA,558.34,97.8,2010,2
Francia,,,2010,2
Italia,,,2010,2
Reino Unido,,,2010,2
Alemania,753.52,87.2,2010,2
"Bélgica, Luxemburgo y Países Bajos",,,2010,2
Países nórdicos,,,2010,2
ESPAÑA,657.69,111.84,2010,1
Francia,,,2010,1
Italia,,,2010,1
Reino Unido,627.6,54.06,2010,1
Alemania,894.46,76.26,2010,1
"Bélgica, Luxemburgo y Países Bajos",,,2010,1
Países nórdicos,,,2010,1
ESPAÑA,643.21,69.77,2009,12
Francia,,,2009,12
Italia,,,2009,12
Reino Unido,708.52,84.71,2009,12
Alemania,816.67,88.2,2009,12
"Bélgica, Luxemburgo y Países Bajos",,,2009,12
Países nórdicos,,,2009,12
ESPAÑA,605.37,87.81,2009,11
Francia,,,2009,11
Italia,,,2009,11
Reino Unido,624.6,81.52,2009,11
Alemania,841.39,104.96,2009,11
"Bélgica, Luxemburgo y Países Bajos",,,2009,11
Países nórdicos,,,2009,11
ESPAÑA,687.93,68.67,2009,10
Francia,698.65,48.74,2009,10
Italia,,,2009,10
Reino Unido,695.83,77.09,2009,10
Alemania,821.34,82.62,2009,10
"Bélgica, Luxemburgo y Países Bajos",650.28,64.32,2009,10
Países nórdicos,836.66,81.74,2009,10
ESPAÑA,699.58,81.43,2009,9
Francia,,,2009,9
Italia,1017.85,104.33,2009,9
Reino Unido,915.49,111.86,2009,9
Alemania,965.85,108.74,2009,9
"Bélgica, Luxemburgo y Países Bajos",,,2009,9
Países nórdicos,987.99,132.3,2009,9
ESPAÑA,792.27,89.25,2009,8
Francia,1295.76,98.04,2009,8
Italia,1378.9,107.94,2009,8
Reino Unido,1083.3,95.57,2009,8
Alemania,954.96,92.94,2009,8
"Bélgica, Luxemburgo y Países Bajos",1011.89,97.18,2009,8
Países nórdicos,1251.58,132.25,2009,8
ESPAÑA,768.87,98.34,2009,7
Francia,,,2009,7
Italia,988.98,120.01,2009,7
Reino Unido,1058.75,110.88,2009,7
Alemania,887.24,98.89,2009,7
"Bélgica, Luxemburgo y Países Bajos",,,2009,7
Países nórdicos,1377.93,133.33,2009,7
ESPAÑA,724.94,109.98,2009,6
Francia,893.73,99.91,2009,6
Italia,1080.64,112.77,2009,6
Reino Unido,930.79,104.81,2009,6
Alemania,960.92,109.56,2009,6
"Bélgica, Luxemburgo y Países Bajos",,,2009,6
Países nórdicos,1202.77,139.17,2009,6
ESPAÑA,605.7,94.88,2009,5
Francia,676.78,97.77,2009,5
Italia,899.07,129.48,2009,5
Reino Unido,636.93,81.55,2009,5
Alemania,817.23,99.86,2009,5
"Bélgica, Luxemburgo y Países Bajos",863.81,117.95,2009,5
Países nórdicos,1258.2,150.24,2009,5
ESPAÑA,603.96,71.04,2009,4
Francia,,,2009,4
Italia,,,2009,4
Reino Unido,815.65,100.97,2009,4
Alemania,935.71,107.92,2009,4
"Bélgica, Luxemburgo y Países Bajos",,,2009,4
Países nórdicos,,,2009,4
ESPAÑA,527.05,66.73,2009,3
Francia,,,2009,3
Italia,,,2009,3
Reino Unido,803.72,64.55,2009,3
Alemania,909.5,92.84,2009,3
"Bélgica, Luxemburgo y Países Bajos",,,2009,3
Países nórdicos,,,2009,3
ESPAÑA,503.19,62.68,2009,2
Francia,,,2009,2
Italia,,,2009,2
Reino Unido,902.89,124.01,2009,2
Alemania,820.45,97.91,2009,2
"Bélgica, Luxemburgo y Países Bajos",,,2009,2
Países nórdicos,,,2009,2
ESPAÑA,469.01,53.06,2009,1
Francia,,,2009,1
Italia,,,2009,1
Reino Unido,644.26,59.03,2009,1
Alemania,817.74,86.85,2009,1
"Bélgica, Luxemburgo y Países Bajos",,,2009,1
Países nórdicos,,,2009,1
