Isla,España,Extranjero,year,month,num_turistas_ESPAÑA,num_turistas_Francia,num_turistas_Italia,num_turistas_Reino Unido,num_turistas_Alemania,"num_turistas_Bélgica, Luxemburgo y Países Bajos",num_turistas_Países nórdicos,Gasto_persona,Gasto_persona_día,Gasto_persona_ESPAÑA,Gasto_persona_Francia,Gasto_persona_Italia,Gasto_persona_Reino Unido,Gasto_persona_Alemania,"Gasto_persona_Bélgica, Luxemburgo y Países Bajos",Gasto_persona_Países nórdicos,num_Hoteles y similares,num_Alojamiento de alquiler,num_Otro alojamiento de mercado,num_Alojamiento en propiedad,num_Alojamiento de familiares o amigos
Mallorca,5.5,7.3,2016,6,131554.0,41646.0,19877.0,377351.0,576315.0,41427.0,130012.0,944.51,132.19,560.91,910.56,754.59,841.67,960.05,1031.37,1089.16,1146381.0,181274.0,39483.0,57899.0,103915.0
Menorca,6.3,7.4,2016,6,66746.0,11529.0,16031.0,94675.0,14616.0,2947.0,7940.0,798.7,112.74,560.91,910.56,754.59,841.67,960.05,1031.37,1089.16,161014.0,24899.0,3618.0,17903.0,18447.0
Ibiza_Formentera,4.6,5.9,2016,6,77757.0,24790.0,59893.0,155543.0,57594.0,42194.0,2410.0,866.95,152.16,560.91,910.56,754.59,841.67,960.05,1031.37,1089.16,359198.0,42201.0,8371.0,12587.0,44433.0
Mallorca,6.1,6.6,2016,5,85971.0,52100.0,13112.0,283405.0,535503.0,101478.0,70088.0,905.84,137.25,506.54,882.51,658.87,813.74,899.05,1026.07,988.73,982485.0,131641.0,40565.0,36453.0,104070.0
Menorca,4.9,6.8,2016,5,23139.0,11426.0,3292.0,68025.0,16043.0,2367.0,,769.67,119.07,506.54,882.51,658.87,813.74,899.05,1026.07,988.73,112044.0,5896.0,,6841.0,6755.0
Ibiza_Formentera,4.9,5.4,2016,5,48855.0,22729.0,46423.0,99606.0,62028.0,37360.0,1349.0,761.93,142.4,506.54,882.51,658.87,813.74,899.05,1026.07,988.73,243568.0,36269.0,14574.0,15997.0,33280.0
Mallorca,5.2,6.8,2016,4,109106.0,34817.0,8976.0,152045.0,294708.0,31959.0,55872.0,823.74,125.38,446.67,760.35,563.1,703.31,930.54,854.19,971.86,451921.0,135768.0,9002.0,51440.0,126970.0
Menorca,7.1,8.5,2016,4,22850.0,2295.0,,8386.0,,,,600.43,79.59,446.67,760.35,563.1,703.31,930.54,854.19,971.86,13300.0,799.0,,10090.0,10311.0
Ibiza_Formentera,6.7,5.6,2016,4,47567.0,11003.0,17932.0,19734.0,9615.0,21993.0,,610.21,102.62,446.67,760.35,563.1,703.31,930.54,854.19,971.86,34741.0,23610.0,4369.0,23031.0,54419.0
Mallorca,5.0,7.0,2016,3,101955.0,5005.0,,75005.0,208037.0,18883.0,15922.0,811.97,123.19,429.14,,,738.1,954.12,800.74,,250298.0,60979.0,12873.0,50457.0,101670.0
Menorca,5.8,6.8,2016,3,18596.0,,,1272.0,,,,508.2,86.39,429.14,,,738.1,954.12,800.74,,7384.0,,,5669.0,6009.0
Ibiza_Formentera,6.3,6.8,2016,3,42846.0,,,7053.0,2953.0,2261.0,,502.18,78.0,429.14,,,738.1,954.12,800.74,,10568.0,2462.0,346.0,11617.0,33813.0
Mallorca,4.5,7.7,2016,2,65966.0,4751.0,,17870.0,89778.0,8167.0,5625.0,845.15,124.81,395.62,,,722.34,939.06,813.04,,102927.0,24534.0,2022.0,26824.0,65059.0
Menorca,5.1,,2016,2,13094.0,,,506.0,,,,527.84,87.79,395.62,,,722.34,939.06,813.04,,2671.0,,,2769.0,8447.0
Ibiza_Formentera,5.9,9.9,2016,2,17019.0,,,2101.0,,,,533.54,74.21,395.62,,,722.34,939.06,813.04,,5051.0,,,4064.0,15228.0
Mallorca,7.6,8.7,2016,1,63516.0,2782.0,,12349.0,54584.0,4082.0,3363.0,742.89,90.28,422.25,850.34,,682.29,913.29,970.59,,42885.0,13613.0,1658.0,29278.0,68609.0
Menorca,7.0,,2016,1,9968.0,,,384.0,,,,360.08,52.41,422.25,850.34,,682.29,913.29,970.59,,1277.0,,,2798.0,6214.0
Ibiza_Formentera,8.3,9.3,2016,1,21162.0,,,2207.0,,,,553.03,64.27,422.25,850.34,,682.29,913.29,970.59,,3977.0,1409.0,,5631.0,18918.0
Mallorca,7.0,9.6,2015,12,46586.0,3453.0,,12002.0,43342.0,3917.0,5554.0,831.77,95.99,429.78,,660.56,809.23,783.06,802.86,1516.52,41741.0,16008.0,986.0,17981.0,54867.0
Menorca,4.9,,2015,12,5802.0,,,1032.0,,,,546.2,81.56,429.78,,660.56,809.23,783.06,802.86,1516.52,2751.0,,,1307.0,2721.0
Ibiza_Formentera,6.4,9.4,2015,12,12720.0,,,4454.0,,1107.0,,597.54,77.81,429.78,,660.56,809.23,783.06,802.86,1516.52,4420.0,1166.0,384.0,3201.0,12950.0
Mallorca,5.7,10.3,2015,11,57449.0,2268.0,,10827.0,77484.0,5085.0,4185.0,852.04,97.08,435.5,946.6,399.38,773.13,949.22,1106.78,,68089.0,24097.0,4593.0,24282.0,51630.0
Menorca,6.1,7.2,2015,11,9296.0,,,763.0,,,,450.9,72.55,435.5,946.6,399.38,773.13,949.22,1106.78,,2514.0,1578.0,176.0,2599.0,3496.0
Ibiza_Formentera,6.5,7.6,2015,11,16794.0,,,2982.0,2393.0,780.0,,596.44,87.05,435.5,946.6,399.38,773.13,949.22,1106.78,,4030.0,2361.0,1000.0,4621.0,14067.0
Mallorca,5.6,8.2,2015,10,59780.0,42135.0,,221093.0,381298.0,34777.0,53767.0,915.06,114.4,511.15,871.64,856.05,841.99,959.55,1028.02,998.79,645476.0,101792.0,29243.0,30659.0,59186.0
Menorca,8.2,8.5,2015,10,18389.0,,,40683.0,1825.0,,,806.03,95.52,511.15,871.64,856.05,841.99,959.55,1028.02,998.79,39416.0,12820.0,,4904.0,4476.0
Ibiza_Formentera,7.3,7.7,2015,10,34034.0,,21930.0,41819.0,45921.0,15438.0,,838.52,109.8,511.15,871.64,856.05,841.99,959.55,1028.02,998.79,92901.0,22038.0,27094.0,10594.0,22680.0
